Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,avgAQI
2000-01-01,2000,1,1,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.016529,0.028,10,26,1.3,3.0,6,34.0,0.0,0.0,0,0.0,25.869565,41.0,23,39,24.75
2000-01-02,2000,1,2,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.030706,0.04,7,37,0.441667,0.8,2,9.0,0.0,0.0,0,0.0,13.086957,32.0,0,30,19.0
2000-01-03,2000,1,3,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.012235,0.023,9,21,1.558333,3.7,23,42.0,0.434783,2.0,19,3.0,43.0,73.0,21,71,34.25
2000-01-04,2000,1,4,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.0075879999999999,0.013,8,12,3.2,4.4,2,50.0,0.8695649999999999,3.0,8,4.0,46.913043,70.0,9,68,33.5
2000-01-05,2000,1,5,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.021176,0.032,18,30,2.1375,3.4,11,39.0,0.5217390000000001,4.0,9,6.0,46.130435,145.0,9,109,46.0
2000-01-06,2000,1,6,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.007412,0.013,8,12,1.6541669999999995,2.9,23,33.0,0.565217,3.0,7,4.0,46.956522,66.0,14,64,28.25
2000-01-07,2000,1,7,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.005294,0.0069999999999999,7,6,3.0708330000000004,5.2,23,58.0,2.086957,5.0,16,7.0,66.95652199999999,124.0,20,105,44.0
2000-01-08,2000,1,8,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.007176,0.014,9,13,3.645833,6.1,3,67.0,0.695652,3.0,0,4.0,58.826087,79.0,0,78,40.5
2000-01-09,2000,1,9,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.005824,0.011,8,10,2.775,4.2,4,48.0,1.2608700000000002,8.0,14,11.0,63.565217,84.0,17,83,38.0
2000-01-10,2000,1,10,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.006,0.011,8,10,2.9125,3.6,9,41.0,0.782609,3.0,9,4.0,65.304348,94.0,13,94,37.25
2000-01-11,2000,1,11,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.005588,0.012,8,11,2.483333,3.2,6,36.0,0.130435,2.0,5,3.0,51.304348,74.0,12,72,30.5
2000-01-12,2000,1,12,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.006529,0.013,8,12,1.7666669999999998,2.8,23,32.0,1.6521740000000005,5.0,9,7.0,50.043478,79.0,15,78,32.25
2000-01-13,2000,1,13,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.0075879999999999,0.013,9,12,3.1375,4.0,9,45.0,2.913043,4.0,5,6.0,54.913043,92.0,10,91,38.5
2000-01-14,2000,1,14,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.007059,0.011,11,10,3.0875,4.1,23,47.0,3.652174,6.0,18,9.0,53.695652,102.0,11,101,41.75
2000-01-15,2000,1,15,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.0068819999999999,0.013,8,12,2.525,4.3,0,49.0,4.26087,7.0,21,10.0,55.695652,83.0,19,82,38.25
2000-01-16,2000,1,16,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.005824,0.009,7,8,1.558333,2.4,23,27.0,3.3043480000000005,5.0,0,7.0,49.478261,67.0,0,65,26.75
2000-01-17,2000,1,17,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,0.002,0.002,7,2,3.045833,4.4,23,50.0,3.0,4.0,0,6.0,43.0,55.0,11,52,27.5
