Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,avgAQI
2000-01-01,2000,1,1,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.001941,0.004,8,4,0.652632,1.1,23,13.0,16.541667,26.0,21,37.0,28.041667,38.0,23,36,22.5
2000-01-02,2000,1,2,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.009588,0.012,11,11,0.833333,1.6,2,18.0,13.791667000000002,29.0,2,41.0,35.375,45.0,17,42,28.0
2000-01-03,2000,1,3,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.004235,0.016,23,15,0.383333,0.7,19,8.0,9.958333,19.0,6,27.0,32.875,41.0,0,39,22.25
2000-01-04,2000,1,4,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.009588,0.015,10,14,0.15,0.5,0,6.0,3.541667,12.0,22,17.0,22.125,41.0,21,39,19.0
2000-01-05,2000,1,5,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.016706,0.025,8,23,0.05,0.2,0,2.0,3.291667,5.0,19,7.0,15.958332999999998,23.0,18,22,13.5
2000-01-06,2000,1,6,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.008765,0.02,9,19,0.1708329999999999,0.4,23,5.0,6.666667,14.0,7,20.0,31.125,44.0,22,42,21.5
2000-01-07,2000,1,7,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.010706,0.017,21,16,0.475,0.9,9,10.0,13.416667000000002,27.0,7,39.0,34.458333,49.0,6,46,27.75
2000-01-08,2000,1,8,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.003,0.009,10,8,0.222222,0.6,21,7.0,9.875,22.0,23,31.0,25.5,37.0,20,35,20.25
2000-01-09,2000,1,9,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.003235,0.008,7,7,0.516667,0.7,22,8.0,14.541667000000002,22.0,9,31.0,33.375,45.0,13,42,22.0
2000-01-10,2000,1,10,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.008706,0.016,11,15,0.358333,0.7,0,8.0,6.4583330000000005,13.0,1,19.0,28.25,36.0,0,34,19.0
2000-01-11,2000,1,11,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.010412,0.015,8,14,0.2375,0.3,8,3.0,6.125,10.0,5,14.0,28.333333000000003,40.0,17,38,17.25
2000-01-12,2000,1,12,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.0023,0.004,14,4,0.347059,0.7,22,8.0,5.8,10.0,19,14.0,23.909091,41.0,17,39,16.25
2000-01-13,2000,1,13,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.017353,0.024,22,22,0.554167,0.7,0,8.0,4.9583330000000005,9.0,0,13.0,22.208333,36.0,0,34,19.25
2000-01-14,2000,1,14,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.022588,0.027,8,25,0.3625,0.4,0,5.0,3.208333,6.0,22,9.0,13.958332999999998,19.0,7,18,14.25
2000-01-15,2000,1,15,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.008118,0.017,23,16,0.508333,0.9,20,10.0,10.166667,17.0,14,24.0,30.25,46.0,16,43,23.25
2000-01-16,2000,1,16,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.020294,0.031,23,29,0.520833,0.8,0,9.0,6.5,17.0,14,24.0,18.333333,29.0,0,27,22.25
2000-01-17,2000,1,17,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.021529,0.027,7,25,0.325,0.5,0,6.0,3.666667,8.0,16,11.0,13.333332999999998,23.0,18,22,16.0
2000-01-18,2000,1,18,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.008353,0.017,8,16,0.329167,0.5,18,6.0,15.583332999999998,36.0,21,51.0,24.458333,37.0,18,35,27.0
2000-01-19,2000,1,19,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.008176,0.016,9,15,0.558333,0.8,23,9.0,22.541667,44.0,8,61.0,33.666667,45.0,22,42,31.75
2000-01-20,2000,1,20,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.012118,0.014,12,13,0.779167,1.0,3,11.0,16.916667,37.0,4,52.0,33.583333,50.0,2,47,30.75
2000-01-21,2000,1,21,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.024353,0.026,9,24,0.508333,0.6,0,7.0,8.916667,14.0,0,20.0,16.208333,29.0,0,27,19.5
2000-01-22,2000,1,22,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.014294,0.027,8,25,0.304167,0.4,0,5.0,8.416667,17.0,19,24.0,20.458333,35.0,21,33,21.75
2000-01-23,2000,1,23,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.010364,0.013,16,12,0.6444439999999999,0.8,9,9.0,17.222222,42.0,7,59.0,32.263158000000004,43.0,3,41,30.25
2000-01-24,2000,1,24,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.005647,0.014,23,13,0.791667,1.4,20,16.0,19.291667,29.0,13,41.0,34.125,42.0,19,40,27.5
2000-01-25,2000,1,25,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.021118,0.026,8,24,0.65,1.3,0,15.0,5.291667,10.0,0,14.0,11.708333,27.0,0,25,19.5
2000-01-26,2000,1,26,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.017,0.023,9,21,0.616667,0.7,12,8.0,5.875,9.0,1,13.0,19.708333,29.0,17,27,17.25
2000-01-27,2000,1,27,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.022059,0.024,8,22,0.533333,0.6,0,7.0,4.8333330000000005,7.0,7,10.0,16.0,25.0,7,24,15.75
2000-01-28,2000,1,28,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.019,0.026,7,24,0.4375,0.5,0,6.0,5.666667,8.0,14,11.0,19.583333,30.0,23,28,17.25
2000-01-29,2000,1,29,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.009882,0.023,8,21,0.591667,0.8,20,9.0,13.25,28.0,19,40.0,32.666667,48.0,19,45,28.75
2000-01-30,2000,1,30,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.010357,0.021,22,19,0.8272729999999999,0.9,8,10.0,30.380952,77.0,9,101.0,49.52381,63.0,12,61,47.75
2000-01-31,2000,1,31,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.003941,0.008,8,7,0.5428569999999999,0.6,21,7.0,22.583333,39.0,10,55.0,28.541667,38.0,6,36,26.25
2000-02-01,2000,2,1,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.012059,0.02,23,19,0.516667,0.6,0,7.0,22.25,38.0,10,54.0,33.5,42.0,19,40,30.0
2000-02-02,2000,2,2,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.020941,0.027,9,25,0.395833,0.5,0,6.0,5.4583330000000005,10.0,6,14.0,19.791667,32.0,18,30,18.75
2000-02-03,2000,2,3,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.004824,0.008,8,7,0.641667,0.9,12,10.0,18.166667,48.0,9,66.0,38.375,51.0,9,48,32.75
2000-02-04,2000,2,4,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.002471,0.005,7,5,0.7,1.2,23,14.0,21.541667,28.0,23,40.0,36.916667,43.0,23,41,25.0
2000-02-05,2000,2,5,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.015765,0.027,8,25,0.795833,1.4,2,16.0,15.791667000000002,32.0,2,46.0,31.416667,46.0,2,43,32.5
2000-02-06,2000,2,6,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.009357,0.025,10,23,0.516667,0.8,22,9.0,12.681818,25.0,19,36.0,32.736842,49.0,19,46,28.5
2000-02-07,2000,2,7,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.022765,0.03,21,28,0.716667,0.8,0,9.0,14.666667000000002,30.0,10,43.0,28.541667,47.0,0,44,31.0
2000-02-08,2000,2,8,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.009235,0.023,7,21,0.691667,1.0,19,11.0,6.5833330000000005,21.0,15,30.0,26.166667,53.0,15,50,28.0
2000-02-09,2000,2,9,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.005059,0.013,9,12,1.025,1.2,12,14.0,16.708333,33.0,23,47.0,44.916667,56.0,18,53,31.5
2000-02-10,2000,2,10,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.007059,0.015,8,14,1.216667,1.5,7,17.0,20.958333,42.0,0,59.0,43.5,58.0,7,55,36.25
2000-02-11,2000,2,11,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.012765,0.024,21,22,1.166667,1.5,15,17.0,11.125,29.0,14,41.0,34.291667,56.0,14,53,33.25
2000-02-12,2000,2,12,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.013353,0.029,9,27,0.8,1.5,23,17.0,6.5,21.0,22,30.0,23.041667,48.0,23,45,29.75
2000-02-13,2000,2,13,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,0.016,0.029,9,27,1.2294120000000002,1.8,2,20.0,11.7,23.0,6,33.0,31.904762,46.0,0,43,30.75
